         *     0.000         *         *     0.678     0.322     1.000     2.250 10010101 176 391
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     2.250 10010102 176 391
     0.000     1.000     1.000     1.000     0.001     0.999     2.000     2.250 10010103 176 391
     0.000     0.000         *     0.000     0.829     0.171     1.000     2.250 10010104 176 391
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     2.250 10010105 176 391
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     2.250 10010106 176 391
     1.000     1.000     1.000     1.000     0.000     1.000     2.000     2.250 10010107 176 391
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     2.250 10010108 176 391
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.139 10020201 194 426
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.139 10020202 194 426
     1.000     1.000     1.000     0.000     0.002     0.998     2.000     1.139 10020203 194 426
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.139 10020204 194 426
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.139 10020205 194 426
     0.000     1.000     0.000     0.000     0.785     0.215     1.000     1.139 10020207 194 426
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.139 10020208 194 426
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.139 10020209 194 426
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.139 10020210 194 426
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.139 10020211 194 426
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.139 10020212 194 426
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.139 10020213 194 426
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.139 10020214 194 426
     0.000     1.000     0.000     0.000     0.785     0.215     1.000     1.139 10020215 194 426
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.139 10020216 194 426
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.139 10020217 194 426
